Tipo de Delito;enero 2014;febrero 2014;marzo 2014;abril 2014;mayo 2014;junio 2014;julio 2014;agosto 2014;septiembre 2014;octubre 2014;noviembre 2014;diciembre 2014;enero 2015;febrero 2015;marzo 2015;abril 2015;mayo 2015;junio 2015;julio 2015;agosto 2015;septiembre 2015;octubre 2015;noviembre 2015;diciembre 2015;enero 2016;febrero 2016;marzo 2016;abril 2016;mayo 2016;junio 2016;julio 2016;agosto 2016;septiembre 2016;octubre 2016;noviembre 2016;diciembre 2016;enero 2017;febrero 2017;marzo 2017;abril 2017;mayo 2017;junio 2017;julio 2017;agosto 2017;septiembre 2017;octubre 2017;noviembre 2017;diciembre 2017;enero 2018;febrero 2018;marzo 2018;abril 2018;mayo 2018;junio 2018;julio 2018;agosto 2018;septiembre 2018;octubre 2018;noviembre 2018;diciembre 2018;enero 2019;febrero 2019;marzo 2019;abril 2019;mayo 2019;junio 2019;julio 2019;agosto 2019;septiembre 2019;octubre 2019;noviembre 2019;diciembre 2019;enero 2020;febrero 2020;marzo 2020;abril 2020;mayo 2020;junio 2020;julio 2020;agosto 2020;septiembre 2020;octubre 2020;noviembre 2020;diciembre 2020;enero 2021;febrero 2021;marzo 2021;abril 2021;mayo 2021;junio 2021;julio 2021;agosto 2021;septiembre 2021;octubre 2021;noviembre 2021;diciembre 2021;enero 2022;febrero 2022;marzo 2022;abril 2022;mayo 2022;junio 2022;julio 2022;agosto 2022;septiembre 2022;octubre 2022;noviembre 2022;diciembre 2022;enero 2023;febrero 2023;marzo 2023;abril 2023;mayo 2023;junio 2023;julio 2023;agosto 2023
   Hurtos;0;0;57;57;56;56;49;59;44;40;47;37;44;34;67;40;47;35;47;56;35;31;64;61;33;41;46;40;51;41;52;52;50;57;56;41;42;52;52;68;45;36;63;42;56;60;47;49;67;45;69;38;54;61;40;48;57;62;57;41;56;56;53;48;46;45;53;58;69;55;43;68;43;64;43;19;41;36;28;26;37;32;36;36;44;33;42;60;30;49;35;49;42;34;45;49;40;44;47;47;47;43;57;58;51;71;54;51;54;42;48;45;62;51;50;60
   Tentativas de hurto;0;0;6;5;4;4;3;6;5;7;4;1;2;5;3;6;15;6;4;4;3;9;11;8;5;1;5;7;1;4;7;5;1;10;5;3;1;5;5;6;8;8;8;9;6;3;2;4;4;3;13;5;8;12;14;6;8;5;11;14;9;9;8;5;7;6;4;5;3;8;4;12;14;4;7;3;17;20;3;2;9;6;1;0;3;4;7;6;8;11;8;6;2;9;3;6;6;5;8;4;8;16;13;11;9;10;5;5;3;9;7;14;11;6;4;12
   Otros delitos contra la propiedad;0;0;68;47;59;68;75;35;43;61;50;55;28;32;68;54;20;33;28;39;49;48;54;48;21;29;39;42;30;61;44;44;40;30;52;27;50;37;55;49;41;21;55;17;44;58;48;50;64;36;55;47;57;42;36;57;58;42;51;55;46;46;51;41;45;49;38;48;64;51;48;45;85;49;33;22;42;23;42;40;73;52;50;37;52;65;44;48;51;38;43;57;60;60;71;49;41;83;90;79;84;93;67;78;94;105;63;92;110;64;72;86;86;84;74;122
Otros Delitos Contra las Personas;49;103;42;34;46;42;50;49;40;47;24;25;35;45;61;37;54;94;109;32;121;125;116;140;127;103;131;104;167;159;144;127;120;168;141;178;112;138;160;193;130;129;164;149;169;196;59;206;208;186;229;206;231;226;319;316;251;259;299;317;253;253;370;256;293;319;261;252;267;285;271;368;383;273;119;241;132;211;282;211;184;169;281;268;266;244;277;283;261;258;264;222;241;233;237;310;247;286;287;219;225;257;225;265;240;256;259;226;204;206;267;228;240;250;240;256
   Delitos contra la seguridad pública;0;0;1;0;2;1;1;3;4;0;0;2;4;1;2;2;7;4;1;3;0;0;0;0;9;1;4;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;25;139;83;6;4;54;8;10;2;1;3;4;0;0;15;23;36;3;0;0;1;17;2;1;0;0;1;1;0;0;0;0;4;0;3;0;16;1;0;0;0;0
   Delitos contra el orden público;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;4;0;0;0;1;0;0;0;2;0;0;0;0;0;1
   Delitos contra la seguridad de la nación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Delitos contra los poderes públicos y el orden constitucional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;63;0;1;0;2;11;0;2;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Delitos contra la administración pública;0;0;0;3;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
   Delitos contra la fe pública;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Ley 23.737 (estupefacientes);0;0;1;0;0;0;1;0;1;0;2;2;0;0;0;1;2;2;1;0;1;0;4;0;2;0;0;1;1;1;1;2;0;1;1;0;1;0;0;1;0;2;0;1;1;0;1;0;0;1;0;3;6;1;0;0;2;2;2;2;2;2;1;1;3;0;0;1;0;1;0;0;1;1;0;1;0;2;1;0;0;0;4;2;1;0;0;1;0;0;1;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;3
   Otros delitos previstos en leyes especiales;0;0;14;16;12;11;17;15;17;16;7;0;14;26;38;14;20;66;79;18;108;94;86;108;88;90;98;92;122;114;111;95;92;141;112;138;90;111;124;161;102;98;129;103;138;149;14;169;179;143;172;165;183;181;285;260;194;200;261;254;178;178;302;220;238;240;232;223;221;217;217;244;272;207;62;21;9;113;211;143;141;149;243;238;218;194;255;229;8;201;198;207;240;224;233;274;221;232;286;219;218;251;224;263;239;251;252;226;201;203;251;226;239;248;236;247
   Figuras contravencionales;0;0;26;15;31;30;29;27;16;29;14;20;17;18;21;18;22;20;23;11;12;28;23;32;28;11;29;9;41;40;30;30;28;24;24;38;17;27;35;31;27;27;35;43;29;47;43;36;28;40;56;37;40;44;33;55;51;55;35;58;71;71;67;31;50;78;29;28;45;59;54;123;107;62;31;17;40;88;65;11;24;10;29;27;42;44;20;41;232;32;23;12;0;2;2;19;23;45;0;0;3;0;0;0;1;3;0;0;0;0;0;0;0;0;3;3
   Suicidios (consumados);0;0;0;0;0;0;1;3;0;2;1;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;1;2;0;0;0;0;2;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;2;0;2;2;2;0;2;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;2;1;2;0;6;1;2;0;1;1;1;0;0;1;0;0;2;1;1;2;0;1;3;0;0;0;0;0;0;0;0;0
   Delito contra el orden económico y financiero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
